offsetCenter,vehicle rotation,road rotation,steeringAngle,is_junction
0.417,-179.75628662109375,-179.92672729492188,0.1,True
0.407,-179.75628662109375,-179.92672729492188,0.0,True
0.398,-179.75628662109375,-179.92672729492188,0.0,True
0.478,-179.75628662109375,-179.92672729492188,0.1,True
0.469,-179.75628662109375,-179.92672729492188,0.1,True
0.461,-179.75628662109375,-179.92672729492188,0.1,True
0.453,-179.75628662109375,-179.92672729492188,0.1,True
0.444,-179.75628662109375,-179.92672729492188,0.1,True
0.435,-179.75628662109375,-179.92672729492188,0.1,True
0.427,-179.75628662109375,-179.92672729492188,0.1,True
0.419,-179.75628662109375,-179.92672729492188,0.1,True
0.488,-179.75628662109375,-179.92672729492188,0.2,True
0.479,-179.75628662109375,-179.92672729492188,0.1,True
0.471,-179.75628662109375,-179.92672729492188,0.1,True
0.464,-179.75628662109375,-179.92672729492188,0.1,True
0.458,-179.75628662109375,-179.92672729492188,0.1,True
0.452,-179.75628662109375,-179.92672729492188,0.1,True
0.447,-179.75628662109375,-179.92672729492188,0.1,True
0.44,-179.75628662109375,-179.92672729492188,0.0,True
0.435,-179.75628662109375,-179.92672729492188,0.1,True
0.493,-179.75628662109375,-179.92672729492188,0.1,True
0.487,-179.75628662109375,-179.92672729492188,0.1,True
0.481,-179.75628662109375,-179.92672729492188,0.1,True
0.476,-179.75628662109375,-179.92672729492188,0.1,True
0.471,-179.75628662109375,-179.92672729492188,0.1,True
0.466,-179.75628662109375,-179.92672729492188,0.1,True
0.462,-179.75628662109375,-179.92672729492188,0.1,True
0.458,-179.75628662109375,-179.92672729492188,0.1,True
0.502,-179.75628662109375,-179.92672729492188,0.0,True
0.497,-179.75628662109375,-179.92672729492188,0.1,True
0.493,-179.75628662109375,-179.92672729492188,0.1,True
0.489,-179.75628662109375,-179.92672729492188,0.1,True
0.485,-179.75628662109375,-179.92672729492188,0.1,True
0.481,-179.75628662109375,-179.92672729492188,0.1,True
0.478,-179.75628662109375,-179.92672729492188,0.1,True
0.475,-179.75628662109375,-179.92672729492188,0.1,True
0.507,-179.75628662109375,-179.92672729492188,0.0,True
